FundId,FundName,FundShortName,FundClass,FundType,FundFamily,FundBaseCurrecny,FundCountry,RegistrarId,TrustIEEId,FundIdentifierId,custodian
W62S,W62S Fund Name AUD,W62S,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,RK400032,NPGNOA
ITT6,ITT6 Fund Name AUD,ITT6,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,FR876412,EIDFNA
1MQR,1MQR Fund Name AUD,1MQR,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,SG979484,HNSBDN
QABM,QABM Fund Name AUD,QABM,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,HT964998,KVSEWV
GAYP,GAYP Fund Name AUD,GAYP,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,ZQ920006,VXZFDM
4HHW,4HHW Fund Name AUD,4HHW,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,LV426287,WDDLSVDE
5CE9,5CE9 Fund Name AUD,5CE9,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,GR662297,CLMDOH
83U3,83U3 Fund Name AUD,83U3,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,TW800162,KFZFHPLQ
KCZH,KCZH Fund Name AUD,KCZH,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,BQ384048,UICDIO
HYDA,HYDA Fund Name AUD,HYDA,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,NZ371912,ZQXKILD
SNOZ,SNOZ Fund Name AUD,SNOZ,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,IQ368131,QVSRDBQ
QUW2,QUW2 Fund Name AUD,QUW2,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,91475331,SXJNGV
KGQ6,KGQ6 Fund Name AUD,KGQ6,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,EB130465,AJHUFF
EB6P,EB6P Fund Name AUD,EB6P,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,13707604,YCTKVY
Q6GB,Q6GB Fund Name AUD,Q6GB,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,HY850249,UKWGQO
XVRV,XVRV Fund Name AUD,XVRV,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,KX245664,EZVLUBW
PDTI,PDTI Fund Name AUD,PDTI,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,RI799538,VKPYNLCO
D5TR,D5TR Fund Name AUD,D5TR,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,FG673008,PTVUFZ
W9A8,W9A8 Fund Name AUD,W9A8,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,LW302192,PILITQHY
R3FY,R3FY Fund Name AUD,R3FY,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,76326895,ZWMTEGYW
31UY,31UY Fund Name AUD,31UY,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,AH853962,LUKDWBD
7NE3,7NE3 Fund Name AUD,7NE3,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,73465890,WJZSGY
IRIP,IRIP Fund Name AUD,IRIP,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,ZV250890,SKVMJRFZ
N9TJ,N9TJ Fund Name AUD,N9TJ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,JZ628347,BMPPVQS
4S44,4S44 Fund Name AUD,4S44,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,XW798007,GOMNFT
RO1S,RO1S Fund Name AUD,RO1S,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,90413161,UVDWCM
FQS3,FQS3 Fund Name AUD,FQS3,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,66901115,TNDVLM
ZW39,ZW39 Fund Name AUD,ZW39,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,RX332482,XFEBABOJ
4EU0,4EU0 Fund Name AUD,4EU0,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,91674203,WXIQXT
17PX,17PX Fund Name AUD,17PX,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,BA941932,JQJWBNCV
CL9K,CL9K Fund Name AUD,CL9K,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,TW888807,OQZYWJJP
FEEB,FEEB Fund Name AUD,FEEB,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,SU339860,ITGIEG
ULBE,ULBE Fund Name AUD,ULBE,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,ST828032,JDKAVW
ZSRF,ZSRF Fund Name AUD,ZSRF,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,KF714168,FLNAQYCV
MXVK,MXVK Fund Name AUD,MXVK,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,37408254,FOXGNGC
57XK,57XK Fund Name AUD,57XK,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,59696332,YFOENJZY
NZBW,NZBW Fund Name AUD,NZBW,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,21629365,OQENPS
L0S2,L0S2 Fund Name AUD,L0S2,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,CY533028,OPOTPF
A2O8,A2O8 Fund Name AUD,A2O8,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,IX131558,MLUVLBW
0V7S,0V7S Fund Name AUD,0V7S,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,KT637749,CSCGSGK
GKB5,GKB5 Fund Name AUD,GKB5,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,AW726595,EKBCAB
9XAE,9XAE Fund Name AUD,9XAE,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,51026852,UQOZBP
QWTH,QWTH Fund Name AUD,QWTH,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,YO397123,RCZQTH
LYX6,LYX6 Fund Name AUD,LYX6,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,FC395070,DDILHA
5YHM,5YHM Fund Name AUD,5YHM,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,XL877541,IZBGSVFL
P7FR,P7FR Fund Name AUD,P7FR,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,ML712464,FUQUWM
YBCZ,YBCZ Fund Name AUD,YBCZ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,PK184658,UGUDWS
JIH5,JIH5 Fund Name AUD,JIH5,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,GJ159840,CIBACS
IVPF,IVPF Fund Name AUD,IVPF,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,74299830,MRUCDB
0DNH,0DNH Fund Name AUD,0DNH,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,XO271288,IFMHTCC
NGIZ,NGIZ Fund Name AUD,NGIZ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,NW891631,DCHHUXD
23DH,23DH Fund Name AUD,23DH,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,RZ461251,FTLUKG
489R,489R Fund Name AUD,489R,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,91489575,OIOILNS
1MB5,1MB5 Fund Name AUD,1MB5,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,NU495040,GSFQGX
3RQH,3RQH Fund Name AUD,3RQH,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,HY849683,BZOFTD
DS8K,DS8K Fund Name AUD,DS8K,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,CF600057,UGEZHR
Z6O4,Z6O4 Fund Name AUD,Z6O4,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,KY122402,VPUDBL
433,0433 Fund Name AUD,433,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,QE796893,JRVDCW
03SR,03SR Fund Name AUD,03SR,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,MZ692746,FVRUOH
HV3C,HV3C Fund Name AUD,HV3C,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,UA642536,ICNIEV
5BVJ,5BVJ Fund Name AUD,5BVJ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,59482282,RRNWDDSN
ZX90,ZX90 Fund Name AUD,ZX90,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,TJ168393,PBDSNG
KQTD,KQTD Fund Name AUD,KQTD,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,SZ527745,RBSOLB
ESHV,ESHV Fund Name AUD,ESHV,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,LI233677,WSQKNNP
XHKV,XHKV Fund Name AUD,XHKV,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,CJ184873,EURUNFCW
ZIYR,ZIYR Fund Name AUD,ZIYR,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,UD941880,BVWRSE
145U,145U Fund Name AUD,145U,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,73149558,XABFZG
J568,J568 Fund Name AUD,J568,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,31830941,HFBFZQB
WLBY,WLBY Fund Name AUD,WLBY,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,21028337,BXNKYW
3EIU,3EIU Fund Name AUD,3EIU,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,SD228397,WCUOHK
1P3I,1P3I Fund Name AUD,1P3I,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,99108275,EKWCJX
B241,B241 Fund Name AUD,B241,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,DC573788,FVXIJO
R99S,R99S Fund Name AUD,R99S,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,FF966137,TNWYAUOO
CPVP,CPVP Fund Name AUD,CPVP,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,UY716810,KRUVDOAC
1REB,1REB Fund Name AUD,1REB,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,32330644,UYUVXF
UKN1,UKN1 Fund Name AUD,UKN1,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,EC136890,QGKSNZTK
UFMT,UFMT Fund Name AUD,UFMT,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,GA714158,IXYMESZ
63PL,63PL Fund Name AUD,63PL,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,74937738,XHQMYAVK
7IUA,7IUA Fund Name AUD,7IUA,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,WA788833,FAWYWU
VDXN,VDXN Fund Name AUD,VDXN,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,PO825644,EUAGHW
3DS3,3DS3 Fund Name AUD,3DS3,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,EM249409,GUUVWA
M9TE,M9TE Fund Name AUD,M9TE,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,TC662464,RHDPGP
CN1C,CN1C Fund Name AUD,CN1C,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,RP848831,MPMEFF
R0O3,R0O3 Fund Name AUD,R0O3,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,FA673877,CEYYDK
7ENB,7ENB Fund Name AUD,7ENB,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,EL762135,QVRLHFE
6EG9,6EG9 Fund Name AUD,6EG9,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,ZD176270,UEUJVO
EB9Z,EB9Z Fund Name AUD,EB9Z,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,68915839,ZWGSGH
VIFU,VIFU Fund Name AUD,VIFU,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,UZ717253,MGZYJII
XBYX,XBYX Fund Name AUD,XBYX,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,ZS729344,YHVQQTB
NI8Z,NI8Z Fund Name AUD,NI8Z,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,HL481264,ZLVZQB
4O5Z,4O5Z Fund Name AUD,4O5Z,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC,ZE502797,MJAUKNMY
B4E2,B4E2 Fund Name AUD,B4E2,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC,DD355139,ADJKUQ
1BNJ,1BNJ Fund Name AUD,1BNJ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,LM615430,XEVBKX
XV57,XV57 Fund Name AUD,XV57,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC,64303760,FIXRAFN

