FundId,FundName,FundShortName,FundClass,FundType,FundFamily,FundBaseCurrecny,FundCountry,RegistrarId,TrustIEEId
9XAE,9XAE Fund Name AUD,9XAE,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
QWTH,QWTH Fund Name AUD,QWTH,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
LYX6,LYX6 Fund Name AUD,LYX6,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
5YHM,5YHM Fund Name AUD,5YHM,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
P7FR,P7FR Fund Name AUD,P7FR,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
YBCZ,YBCZ Fund Name AUD,YBCZ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
JIH5,JIH5 Fund Name AUD,JIH5,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
IVPF,IVPF Fund Name AUD,IVPF,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
0DNH,0DNH Fund Name AUD,0DNH,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
NGIZ,NGIZ Fund Name AUD,NGIZ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
23DH,23DH Fund Name AUD,23DH,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
489R,489R Fund Name AUD,489R,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
1MB5,1MB5 Fund Name AUD,1MB5,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
3RQH,3RQH Fund Name AUD,3RQH,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
DS8K,DS8K Fund Name AUD,DS8K,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
Z6O4,Z6O4 Fund Name AUD,Z6O4,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
433,0433 Fund Name AUD,433,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
03SR,03SR Fund Name AUD,03SR,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
HV3C,HV3C Fund Name AUD,HV3C,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
5BVJ,5BVJ Fund Name AUD,5BVJ,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
ZX90,ZX90 Fund Name AUD,ZX90,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
KQTD,KQTD Fund Name AUD,KQTD,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
ESHV,ESHV Fund Name AUD,ESHV,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
XHKV,XHKV Fund Name AUD,XHKV,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
ZIYR,ZIYR Fund Name AUD,ZIYR,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
145U,145U Fund Name AUD,145U,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
J568,J568 Fund Name AUD,J568,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
WLBY,WLBY Fund Name AUD,WLBY,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
3EIU,3EIU Fund Name AUD,3EIU,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
1P3I,1P3I Fund Name AUD,1P3I,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
B241,B241 Fund Name AUD,B241,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
R99S,R99S Fund Name AUD,R99S,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
CPVP,CPVP Fund Name AUD,CPVP,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
1REB,1REB Fund Name AUD,1REB,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
UKN1,UKN1 Fund Name AUD,UKN1,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
UFMT,UFMT Fund Name AUD,UFMT,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
63PL,63PL Fund Name AUD,63PL,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
7IUA,7IUA Fund Name AUD,7IUA,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
VDXN,VDXN Fund Name AUD,VDXN,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
3DS3,3DS3 Fund Name AUD,3DS3,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
M9TE,M9TE Fund Name AUD,M9TE,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
CN1C,CN1C Fund Name AUD,CN1C,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
R0O3,R0O3 Fund Name AUD,R0O3,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
7ENB,7ENB Fund Name AUD,7ENB,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
6EG9,6EG9 Fund Name AUD,6EG9,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
EB9Z,EB9Z Fund Name AUD,EB9Z,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
VIFU,VIFU Fund Name AUD,VIFU,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
XBYX,XBYX Fund Name AUD,XBYX,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
NI8Z,NI8Z Fund Name AUD,NI8Z,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
4O5Z,4O5Z Fund Name AUD,4O5Z,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC
B4E2,B4E2 Fund Name AUD,B4E2,O,7,SALF,AUD,HKG,RGHKICBC,TEHKICBC
1BNJ,1BNJ Fund Name AUD,1BNJ,O,81,SALF,AUD,HKG,RGHKICBC,TEHKICBC
XV57,XV57 Fund Name AUD,XV57,O,81,SUII,AUD,HKG,RGHKICBC,TEHKICBC

